timestamp,pm1,pm2_5,pm10,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,temperature,humidity,battery,no2_ae,no2_we,ox_ae,ox_we,gpsLatitude,gpsLongitude
2020-08-09 23:02:07,3.0233447551727295,6.743363857269287,15.525054931640625,4388,266,93,34,45,39,16,4,1,0,0,1,1,0,0,0,28.4,48.6,7.97,4870,4914,6640,6985,51.48544692993164,-0.1638241708278656
2020-08-09 23:06:07,3.21773099899292,6.72273063659668,17.101003646850586,4605,312,114,32,46,36,9,6,4,0,0,1,1,0,0,0,28.3,49.4,7.84,4887,4885,6623,6891,51.48544692993164,-0.1638241708278656
2020-08-09 23:10:07,3.2343010902404785,6.5244011878967285,10.371150970458984,4756,291,108,28,50,29,13,3,3,0,0,0,0,0,0,0,28.3,49.4,7.84,4887,4885,6623,6891,51.48544692993164,-0.1638241708278656
2020-08-09 23:14:07,3.190340280532837,6.923830032348633,21.37132453918457,4486,292,118,39,53,28,16,3,6,2,2,0,1,0,0,0,28.3,49.3,7.94,4883,4909,6645,6938,51.4853401184082,-0.16381482779979706
2020-08-09 23:18:07,3.005389928817749,6.691231727600098,16.624658584594727,4317,255,95,40,47,36,15,3,3,1,1,0,1,0,0,0,28.4,49.1,7.96,4864,4915,6624,6935,51.4853401184082,-0.16381482779979706
2020-08-09 23:22:07,3.0936763286590576,6.6615309715271,18.464801788330078,4387,285,110,41,45,29,15,2,7,3,0,1,0,0,0,0,28.2,49.3,7.96,4868,4930,6631,6966,51.4853401184082,-0.16381482779979706
2020-08-09 23:26:07,3.1781985759735107,6.518451690673828,11.07975959777832,4627,262,116,34,47,31,12,4,2,1,0,0,0,0,0,0,28,50.2,7.84,4887,4899,6630,6901,51.4853401184082,-0.16381482779979706
2020-08-09 23:30:07,3.137437343597412,7.110588550567627,17.354721069335938,4549,256,100,37,50,41,12,7,3,1,1,1,0,0,0,0,28,50.2,7.84,4887,4899,6630,6901,51.4853401184082,-0.16381482779979706
2020-08-09 23:34:07,3.3703112602233887,7.079092979431152,16.58571434020996,4545,286,99,34,53,35,9,5,2,0,3,0,0,0,0,0,28.1,49.9,7.96,4874,4900,6635,6968,51.4853401184082,-0.16381482779979706
2020-08-09 23:38:07,3.1622438430786133,6.927419662475586,17.65597915649414,4496,301,93,45,49,35,16,3,3,1,0,1,1,0,0,0,28.1,49.8,7.96,4875,4900,6635,6915,51.4853401184082,-0.16381482779979706
2020-08-09 23:42:07,3.3977489471435547,7.213829517364502,13.250894546508789,4563,293,117,28,50,31,13,6,3,1,0,0,0,0,0,0,28,50.2,7.95,4883,4905,6637,6943,51.4853401184082,-0.16381482779979706
2020-08-09 23:46:07,3.210794448852539,7.40045166015625,20.349849700927734,4708,324,130,55,56,31,15,10,8,5,0,0,0,0,0,0,27.8,51.3,7.83,4888,4918,6637,6915,51.4853401184082,-0.16381482779979706
2020-08-09 23:50:07,3.5484399795532227,8.661367416381836,20.429861068725586,4725,290,101,44,56,38,25,7,4,2,0,1,0,0,0,0,27.8,51.3,7.83,4888,4918,6637,6915,51.4853401184082,-0.16381482779979706
2020-08-09 23:54:07,3.2193238735198975,7.893702983856201,14.010442733764648,4786,312,113,45,61,53,16,10,2,1,0,0,0,0,0,0,27.8,51.3,7.94,4880,4930,6635,7011,51.4853401184082,-0.16381482779979706
2020-08-09 23:58:07,3.387092351913452,8.455565452575684,23.119657516479492,4624,292,136,41,60,46,23,6,5,3,1,0,1,0,0,0,27.9,51.3,7.94,4879,4917,6633,6936,51.4853401184082,-0.16381482779979706
2020-08-10 00:02:07,3.457045793533325,7.794070720672607,16.595550537109375,4746,333,141,39,57,36,17,6,6,2,0,0,0,0,0,0,27.9,51.2,7.94,4878,4921,6653,6984,51.4853401184082,-0.16381482779979706
2020-08-10 00:06:07,3.565614938735962,8.922059059143066,23.644392013549805,4713,325,155,46,65,49,25,5,4,4,1,1,0,0,0,0,27.7,52.3,7.82,4887,4903,6649,6927,51.4853401184082,-0.16381482779979706
2020-08-10 00:10:07,3.7904367446899414,9.260940551757812,17.844045639038086,4769,368,119,47,68,44,21,8,5,1,0,0,0,0,0,0,27.7,52.3,7.82,4887,4903,6649,6927,51.4853401184082,-0.16381482779979706
2020-08-10 00:14:06,3.501352310180664,8.613426208496094,17.918195724487305,4623,340,139,55,54,56,18,6,5,1,1,0,0,0,0,0,27.7,52.2,7.92,4874,4921,6643,6946,51.48548126220703,-0.16393999755382538
2020-08-10 00:18:06,3.388303279876709,7.607327938079834,17.01561164855957,4708,332,122,39,55,40,17,3,5,2,1,0,0,0,0,0,27.5,52.8,7.92,4881,4915,6634,6950,51.48548126220703,-0.16393999755382538
2020-08-10 00:22:06,3.419884204864502,7.578891754150391,14.988396644592285,4675,312,131,47,61,38,14,5,3,1,1,0,0,0,0,0,27.5,52.5,7.93,4881,4920,6643,6932,51.48548126220703,-0.16393999755382538
2020-08-10 00:26:06,3.6184325218200684,8.562868118286133,29.04092025756836,4911,361,129,37,73,50,17,4,5,1,3,1,1,0,1,0,27.2,53.6,7.8,4891,4923,6643,6911,51.48548126220703,-0.16393999755382538
2020-08-10 00:30:06,3.6337807178497314,9.35894775390625,18.362361907958984,4809,350,136,42,78,54,27,6,2,1,0,1,0,0,0,0,27.2,53.6,7.8,4891,4923,6643,6911,51.48548126220703,-0.16393999755382538
2020-08-10 00:34:06,3.50791335105896,8.639102935791016,16.900062561035156,4702,323,134,47,62,59,15,9,1,0,2,0,0,0,0,0,27.3,53.4,7.92,4884,4934,6638,6953,51.48548126220703,-0.16393999755382538
